Make,Driver,mgr,Acceleration 0-100 km/h,Top speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Range,Battery Level (%),Latitude (N),Longitude (E),Speed,Vehicle Status,Pincode,Maintenance Cost,Charge Cost,Dates,Day,Month,Year
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,321.74,75,15.6329,76.993,166,0,4684,2444,96,17-04-24,17,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,231.83,57,16.1608,79.5457,125,1,59346,1892,10,14-04-24,14,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,359.1,83,14.4238,78.0492,135,0,21330,2294,64,08-10-24,8,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,418.37,95,11.4001,77.2556,112,0,24536,1016,93,18-04-24,18,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,365.37,84,17.3001,78.2143,91,0,41920,2183,51,22-09-24,22,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,81.79,27,19.4128,78.17,131,0,36626,1367,76,14-03-24,14,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,256.23,62,13.8589,77.6895,84,0,8832,2128,52,09-04-24,9,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,109.81,33,16.3808,76.4259,35,1,30028,1227,83,18-04-24,18,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,379.86,87,13.611,77.0679,172,0,99526,519,64,30-05-24,30,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,63.76,24,10.836,79.1524,153,1,47380,1375,16,07-10-24,7,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,298.64,71,10.7902,78.7406,74,0,35959,900,52,13-05-24,13,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,241.98,59,19.2092,79.8633,154,0,70441,1683,76,25-09-24,25,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,179.57,47,17.6322,79.4418,106,1,18063,1292,66,03-10-24,3,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,260.69,63,19.2463,76.7859,141,1,33525,1441,14,10-10-24,10,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,384.14,88,11.1599,78.8997,136,0,73703,629,58,08-04-24,8,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,204.06,52,16.5805,76.2979,184,0,22768,1696,26,08-03-24,8,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,25.25,16,14.9641,77.1164,43,1,43534,993,88,07-05-24,7,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,200.2,51,13.7187,77.8653,168,0,46338,486,96,02-02-24,2,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,103.58,32,19.7505,78.2006,182,1,67721,2212,39,10-07-24,10,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,428.16,97,10.5544,79.828,86,1,54686,1446,11,06-02-24,6,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,45.85,20,18.5936,78.0824,140,1,43135,1632,68,01-09-24,1,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,391.57,89,18.9427,77.6137,63,1,84486,1261,89,07-10-24,7,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,74.27,26,17.4078,78.6533,151,1,23988,1699,53,25-06-24,25,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,204.57,52,10.0257,77.3243,176,0,64061,2064,93,08-03-24,8,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,286.37,68,10.1229,79.8012,170,1,82598,1522,13,19-08-24,19,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,373.91,86,15.1577,78.0675,93,0,87081,957,71,24-04-24,24,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,270.1,65,18.7699,78.0349,98,0,5089,1219,33,13-09-24,13,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,186.1,48,17.7353,77.1857,112,0,22554,1685,27,15-06-24,15,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,388.76,89,17.8451,79.0933,123,0,94907,2080,65,01-02-24,1,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,259.76,63,17.3958,78.1328,119,0,19365,1708,75,12-05-24,12,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,424.68,96,12.4258,78.5077,78,0,14225,2249,93,14-01-24,14,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,83.82,28,19.7186,78.5181,118,1,6390,946,49,18-08-24,18,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,165.01,44,19.9779,76.8527,182,0,14909,1467,84,20-01-24,20,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,34.89,18,17.3246,79.3427,36,1,30861,1741,28,29-02-24,29,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,45.72,20,12.0519,76.2818,58,1,61582,1212,40,13-05-24,13,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,41.21,19,19.8312,79.2865,43,0,7447,1472,74,06-09-24,6,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,361.77,83,10.439,77.558,117,1,78905,1011,35,09-08-24,9,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,106.93,32,12.3147,76.4732,58,0,51332,764,91,10-07-24,10,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,266.08,64,18.455,76.0236,108,0,24773,1907,35,23-06-24,23,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,444.96,100,14.5846,78.9838,35,0,49584,457,34,24-07-24,24,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,38.59,19,19.2604,76.1233,66,0,29420,933,88,11-01-24,11,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,298.32,71,13.2625,78.987,179,1,11859,1282,52,15-08-24,15,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,301.7,71,14.5276,79.1871,199,0,63844,1559,30,16-06-24,16,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,250.99,61,19.4355,77.1799,41,1,36158,2113,68,20-09-24,20,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,78.86,27,11.3611,78.5362,95,1,43302,1138,15,17-01-24,17,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,138.2,39,17.7034,79.4991,149,0,8611,1417,69,05-03-24,5,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,73.93,26,18.5248,78.2909,47,0,2171,751,40,25-03-24,25,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,150.6,41,10.4895,78.4675,89,0,49473,640,13,17-07-24,17,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,149.14,41,11.7387,78.6839,55,0,32963,1361,28,26-07-24,26,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,156.07,42,18.546,76.2176,154,0,65647,1851,66,14-02-24,14,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,165.61,44,15.5595,79.0042,182,0,48807,586,34,03-08-24,3,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,109.67,33,10.6167,77.0028,147,0,34903,2016,35,13-07-24,13,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,366.74,84,12.2229,78.3224,35,1,28592,941,46,11-07-24,11,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,131.34,37,14.0058,77.4286,93,1,25835,1134,38,17-09-24,17,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,438.75,99,19.3757,76.9381,108,0,24997,1095,32,18-07-24,18,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,24.16,16,19.1743,76.774,130,0,95851,1789,41,22-04-24,22,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,29.34,17,18.093,76.6096,120,1,63878,2173,43,04-04-24,4,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,185.57,48,18.4728,79.2308,107,1,3775,1466,12,19-04-24,19,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,410.44,93,16.1411,78.5822,65,0,53841,2412,89,01-06-24,1,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,45.55,20,16.1698,76.3279,52,0,91557,1019,65,30-10-24,30,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,309.6,73,14.7903,76.7857,190,0,92058,1008,26,18-01-24,18,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,428.38,97,10.8772,78.9342,88,0,5552,623,34,22-08-24,22,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,329.07,77,15.4366,78.3156,184,0,25825,2313,86,03-03-24,3,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,415.74,94,10.2606,79.5658,81,0,2067,860,29,24-10-24,24,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,371.08,85,18.1069,76.5355,164,0,59413,1831,16,26-03-24,26,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,401.76,91,14.7168,77.4555,67,1,80376,1563,26,16-09-24,16,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,354.47,82,13.5743,76.0424,197,0,56268,1139,75,06-01-24,6,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,305.72,72,13.8842,79.7567,135,1,30029,506,75,14-09-24,14,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,165.38,44,19.3521,76.1617,135,1,56417,1564,57,01-09-24,1,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,310.11,73,12.3655,77.0574,193,0,28624,1930,69,21-05-24,21,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,274.45,66,13.18,76.9361,100,0,84391,834,32,17-06-24,17,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,114.77,34,18.367,76.4129,98,1,58225,423,84,28-03-24,28,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,320.72,75,18.104,79.8738,185,1,83625,1749,61,08-08-24,8,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,60.87,23,19.7039,78.5343,175,1,9834,579,91,29-01-24,29,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,74.78,26,10.3796,78.3145,182,0,19395,929,14,06-04-24,6,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,394.23,90,18.0645,77.0063,64,0,83218,1962,37,24-03-24,24,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,228.01,57,18.0242,77.6234,150,0,40404,1445,58,19-07-24,19,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,245.8,60,17.047,79.5487,129,1,49363,765,42,24-03-24,24,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,340.92,79,13.226,79.2678,99,1,62698,2410,84,27-10-24,27,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,238.32,59,17.0718,78.3632,142,1,32074,2499,67,06-07-24,6,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,256.5,62,18.896,77.6436,155,0,54553,2405,65,29-05-24,29,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,431.02,97,10.018,79.6898,110,0,72037,1163,66,13-06-24,13,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,189.52,49,15.6748,79.514,167,0,33178,1799,55,25-08-24,25,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,18.13,15,14.9619,77.9267,146,0,25324,2317,20,05-05-24,5,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,135.64,38,13.3117,76.8775,40,1,11193,2191,45,04-08-24,4,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,58.27,23,19.6308,78.4928,40,1,63750,923,56,16-06-24,16,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,110.38,33,18.2166,78.0432,172,0,32637,1630,14,24-06-24,24,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,311.02,73,17.8702,76.0663,131,1,20316,2491,48,27-09-24,27,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,226.67,56,11.6634,78.422,138,1,77997,1437,87,24-01-24,24,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,400.31,91,18.8177,79.6064,186,0,53178,1443,79,17-08-24,17,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,50.09,21,17.5824,78.6376,145,1,91314,1135,61,12-07-24,12,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,440.37,99,10.3341,79.7509,76,0,47882,741,11,05-07-24,5,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,44.85,20,13.3109,76.3353,61,0,86966,454,34,10-08-24,10,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,335.42,78,18.239,78.3415,41,0,12236,858,73,10-07-24,10,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,360.69,83,16.3819,79.9672,68,1,14206,2370,63,14-05-24,14,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,63.85,24,18.9488,78.2364,108,0,17876,1632,48,29-01-24,29,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,268.76,65,12.65,77.935,109,1,18017,2298,51,22-07-24,22,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,311.66,73,13.8145,77.5925,76,0,19269,489,14,25-09-24,25,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,89.44,29,16.6814,79.2034,157,1,64382,1224,58,15-02-24,15,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,276.53,66,18.0818,78.4561,169,0,36457,1607,36,18-04-24,18,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,248.81,61,15.2258,79.293,180,0,66300,2168,70,24-06-24,24,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,86.46,28,19.3636,76.3526,146,0,66285,1591,82,29-09-24,29,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,86.96,28,13.1975,78.6201,184,1,70296,1808,18,08-10-24,8,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,433.03,98,15.1969,76.8012,75,0,83303,937,51,23-08-24,23,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,388.24,89,11.4964,78.3317,173,1,48455,1248,63,02-03-24,2,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,419.65,95,17.8575,76.0186,106,0,61228,1040,49,29-01-24,29,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,320.01,75,16.5479,77.3599,139,1,65745,1643,30,22-04-24,22,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,193.72,50,14.0297,78.1516,150,1,27214,474,85,27-08-24,27,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,431.31,97,18.4285,77.5307,191,0,83118,1317,77,29-05-24,29,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,45.81,20,17.288,77.0534,96,0,25413,606,46,15-10-24,15,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,139.33,39,19.1343,77.368,120,0,15885,833,99,27-04-24,27,4,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,226.91,56,14.0717,78.2182,63,1,72664,817,48,26-07-24,26,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,56.61,22,17.9149,76.7311,191,1,18713,883,41,13-08-24,13,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,353.83,82,10.5056,79.1158,190,1,79357,964,99,26-03-24,26,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,411.28,93,11.9911,76.314,83,1,38714,1226,40,23-09-24,23,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,251.72,61,14.6422,77.9707,136,0,15050,2102,45,28-02-24,28,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,265.27,64,16.8117,79.832,115,0,24585,2340,47,05-10-24,5,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,281.4,67,12.4194,79.392,119,1,74948,1798,95,02-08-24,2,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,235.71,58,14.8879,77.4848,173,1,62156,1574,18,06-07-24,6,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,420.96,95,14.7458,79.5239,32,0,62586,749,73,22-05-24,22,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,373.39,86,10.9039,77.5915,108,0,42610,1020,23,03-09-24,3,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,391.13,89,16.5159,79.1036,131,0,75871,521,15,26-10-24,26,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,240.21,59,19.6714,78.0728,37,0,49053,440,19,25-07-24,25,7,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,433.74,98,14.741,76.0337,79,1,6798,747,98,12-06-24,12,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,213.29,54,19.43,76.7486,195,1,25442,651,34,30-06-24,30,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,431.14,97,12.7538,79.8341,69,0,20852,1018,11,05-05-24,5,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,444.44,100,14.59,77.6958,167,0,24777,2117,100,29-06-24,29,6,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,76.77,26,13.0215,79.0088,148,1,47140,1646,51,30-08-24,30,8,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,249.72,61,19.9943,79.9171,174,1,21921,1001,18,26-05-24,26,5,24
